prompt_language,task,prompt_condition,metric,model_a,model_b,runs_per_cell,model_a_mean_prompt_effect,model_b_mean_prompt_effect,model_by_prompt_interaction,interaction_sd,resampling_unit,confidence_level,bootstrap_replicates,valid_replicates,valid_proportion,interval_status,interaction_ci_lower,interaction_ci_upper
en,horizon,detailed,directed_exploration,GPT-5.4,GPT-4.1,20,-0.007499999999999998,0.037500000000000006,0.045000000000000005,0.11686699592631832,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.004999999999999985,0.0975
en,horizon,detailed,horizon_effect,GPT-5.4,GPT-4.1,20,0.004999999999999999,0.012499999999999999,0.0075,0.11387319817743723,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.04000000000000001,0.05506249999999966
en,horizon,detailed,random_exploration_effect,GPT-5.4,GPT-4.1,20,0.32303674148266054,-0.7468499029845672,-1.0698866444672277,2.3471555261585704,matched_environment_seed_block_hierarchical_refit,0.95,2000,2000,1.0,report,-3.619316455786532,1.1862724478098061
en,horizon,role_human,directed_exploration,GPT-5.4,GPT-4.1,20,-0.004999999999999999,-0.057499999999999996,-0.0525,0.08503095411610255,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.0875624999999999,-0.014999999999999982
en,horizon,role_human,horizon_effect,GPT-5.4,GPT-4.1,20,-0.004999999999999999,0.007499999999999998,0.012499999999999997,0.07926471306225807,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.020000000000000004,0.0475
en,horizon,role_human,random_exploration_effect,GPT-5.4,GPT-4.1,20,-0.2486575862948037,-0.547367220683453,-0.2987096343886493,1.8776702978936508,matched_environment_seed_block_hierarchical_refit,0.95,2000,2000,1.0,report,-2.4515003007980387,1.7081043547054056
en,horizon,uncertainty_emphasis,directed_exploration,GPT-5.4,GPT-4.1,20,-0.0025000000000000022,0.145,0.1475,0.12510521887384907,matched_environment_seed_block,0.95,2000,2000,1.0,report,0.09499999999999999,0.20256249999999967
en,horizon,uncertainty_emphasis,horizon_effect,GPT-5.4,GPT-4.1,20,0.0125,0.0525,0.039999999999999994,0.14743419584771764,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.025000000000000005,0.10006249999999967
en,horizon,uncertainty_emphasis,random_exploration_effect,GPT-5.4,GPT-4.1,20,0.15801381850208612,1.4288059598912295,1.2707921413891434,2.0401830874135705,matched_environment_seed_block_hierarchical_refit,0.95,2000,2000,1.0,report,-0.7474230852205971,3.319228313893983
en,igt,detailed,advantageous_choice_rate,GPT-5.4,GPT-4.1,20,0.040999999999999995,-0.041000000000000016,-0.08200000000000002,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.12252500000000001,-0.040487500000000155
en,igt,detailed,post_loss_switching_rate,GPT-5.4,GPT-4.1,20,-0.040305614494509014,0.06807984968554685,0.10838546418005587,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.002173780441272903,0.22501200669774185
en,igt,role_human,advantageous_choice_rate,GPT-5.4,GPT-4.1,20,0.03450000000000001,-0.005999999999999994,-0.0405,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.07702500000000002,-0.0019875000000000743
en,igt,role_human,post_loss_switching_rate,GPT-5.4,GPT-4.1,20,0.010983127166950695,0.04148705841884253,0.030503931251891835,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.09165569798736349,0.1576885310099243
en,igt,reward_loss_emphasis,advantageous_choice_rate,GPT-5.4,GPT-4.1,20,0.073,0.061,-0.011999999999999997,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.05500000000000005,0.030000000000000027
en,igt,reward_loss_emphasis,post_loss_switching_rate,GPT-5.4,GPT-4.1,20,0.018144421754715867,-0.10107612769606772,-0.11922054945078359,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.2470547807093183,0.015589591200774348
en,bart,detailed,adjusted_average_pumps,GPT-5.4,GPT-4.1,20,-0.04965442886495518,-0.2325780827338113,-0.18292365386885612,1.8797832072034932,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.9504271420013802,0.6131080802761829
en,bart,detailed,explosion_rate,GPT-5.4,GPT-4.1,20,0.001249999999999999,0.024999999999999998,0.02375,0.044776491717488494,matched_environment_seed_block,0.95,2000,2000,1.0,report,0.005000000000000004,0.042499999999999996
