prompt_language,task,prompt_condition,psi,expected_metric_count,valid_metric_count,excluded_metrics,status,bootstrap_unit,confidence_level,bootstrap_replicates,psi_valid_replicates,psi_valid_proportion,psi_interval_status,psi_ci_lower,psi_ci_upper
en,horizon,detailed,0.2607553168031802,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.1863325330377123,0.8468068931551618
en,horizon,role_human,0.2757585566972322,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.23149472304136076,0.9309912555626259
en,horizon,uncertainty_emphasis,0.9196396355245496,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.5314413268173428,1.6730195637056644
en,igt,detailed,0.7880017450796946,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,0.34707784154079546,1.2872669010096083
en,igt,role_human,0.25174364260377885,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,0.05179582773957214,0.7777432690169402
en,igt,reward_loss_emphasis,0.8964241468586719,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,0.3146098417849849,1.7621493853082661
en,bart,detailed,0.6039987494735001,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.32401437736864336,1.1750840193762284
en,bart,role_human,0.6752215838144735,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.43268773800905136,1.052095365189105
en,bart,risk_emphasis,0.27923183484524633,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.1427259425563762,0.6190979060965214
es,horizon,detailed,0.18660497495401115,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.1343259756291358,0.9021333359892627
es,horizon,role_human,0.40190544824817276,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.24414612451554923,1.0610749662935939
es,horizon,uncertainty_emphasis,0.27976871199386383,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.12001302314352125,0.7838740240029366
es,igt,detailed,1.6926559719156502,2,2,,complete,independent_cell,0.95,2000,1990,0.995,report,1.1483271165813864,3.457386664511779
es,igt,role_human,0.6171299337358497,2,2,,complete,independent_cell,0.95,2000,1919,0.9595,report,0.34204419053652524,0.9055055037388565
es,igt,reward_loss_emphasis,0.3876622989857209,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,0.14043390511129616,0.7541750643789551
es,bart,detailed,0.8023985225394431,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.6379816828289112,1.2460205028681874
es,bart,role_human,0.15476160480859674,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.07866551209440605,0.43316823002799654
es,bart,risk_emphasis,0.21694486657985307,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.08871889048612505,0.49759256677718333
zh-CN,horizon,detailed,0.26166206535545206,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.17186796623130435,0.9210803521028386
zh-CN,horizon,role_human,0.16938319468329194,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.10446908564548349,0.7016315806094849
zh-CN,horizon,uncertainty_emphasis,0.704570313790855,3,3,,complete,paired_environment_seed_hierarchical_refit,0.95,2000,2000,1.0,report,0.24368973716597367,1.4682701809254368
zh-CN,igt,detailed,3.304471093578646,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,2.1371505137929003,7.525475368524454
zh-CN,igt,role_human,1.2722115974921435,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,1.0914496034920491,1.851731158308696
zh-CN,igt,reward_loss_emphasis,1.2225023835032731,2,2,,complete,independent_cell,0.95,2000,2000,1.0,report,0.8383827107228992,1.7749533458730773
zh-CN,bart,detailed,0.16173286130785366,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.09285388975083157,0.4723368626244132
zh-CN,bart,role_human,0.24833213781189561,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.16322008656800313,0.5321474508623357
zh-CN,bart,risk_emphasis,0.18043006292597272,3,3,,complete,paired_environment_seed,0.95,2000,2000,1.0,report,0.1108831717304179,0.460186386194981
