run_id,prompt_language,task,prompt_condition,model,requested_model,resolved_model,temperature,top_p,max_output_tokens,seed,config_name,config_version,prompt_path,prompt_sha256,done,n_trials,parse_success_rate,invalid_response_count,source_path,adjusted_average_pumps,advantageous_choice_rate,average_earning_per_balloon,average_net_outcome,average_pumps,average_reward_per_trial,deck_A_rate,deck_B_rate,deck_C_rate,deck_D_rate,directed_exploration,exploration_rate,explosion_rate,horizon_effect,learning_curve_change,learning_slope,n_balloons,n_games,net_score,post_explosion_adjustment,post_loss_switching_rate,random_exploration_effect,switching_rate
en:horizon:baseline:20260708,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260708,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260708.json,,,,,,54.21333333333333,,,,,0.35,0.10714285714285714,,-0.05,,,,40,,,,-0.2140451792444371,0.4414715719063545
en:horizon:baseline:20260709,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260709,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260709.json,,,,,,52.056666666666665,,,,,0.6,0.06428571428571428,,-0.1,,,,40,,,,-0.4076294957139077,0.3779264214046823
en:horizon:baseline:20260710,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260710,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260710.json,,,,,,53.13,,,,,0.45,0.07142857142857142,,0.1,,,,40,,,,0.4082303653921171,0.4280936454849498
en:horizon:baseline:20260711,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260711,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260711.json,,,,,,50.54,,,,,0.5,0.11428571428571428,,0.0,,,,40,,,,3.815981092580997,0.44481605351170567
en:horizon:baseline:20260712,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260712,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260712.json,,,,,,54.87,,,,,0.7,0.11428571428571428,,-0.09999999999999999,,,,40,,,,-1.4629980297401945,0.43812709030100333
en:horizon:baseline:20260713,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260713,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260713.json,,,,,,54.526666666666664,,,,,0.6,0.1,,-0.05,,,,40,,,,-1.2665225850265895,0.45484949832775917
en:horizon:baseline:20260714,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260714,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260714.json,,,,,,54.24333333333333,,,,,0.55,0.09285714285714286,,0.0,,,,40,,,,0.0920434435423223,0.43478260869565216
en:horizon:baseline:20260715,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260715,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260715.json,,,,,,53.53666666666667,,,,,0.6,0.1357142857142857,,-0.09999999999999999,,,,40,,,,-0.6413025076234051,0.44816053511705684
en:horizon:baseline:20260716,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260716,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260716.json,,,,,,53.153333333333336,,,,,0.55,0.2,,0.0,,,,40,,,,-0.655960475863449,0.45819397993311034
en:horizon:baseline:20260717,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260717,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260717.json,,,,,,48.64,,,,,0.65,0.12857142857142856,,0.0,,,,40,,,,0.29222311957916824,0.45484949832775917
en:horizon:baseline:20260718,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260718,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260718.json,,,,,,52.836666666666666,,,,,0.6,0.08571428571428572,,-0.1,,,,40,,,,-2.961991810079718,0.4080267558528428
en:horizon:baseline:20260719,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260719,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260719.json,,,,,,53.586666666666666,,,,,0.4,0.11428571428571428,,-0.05,,,,40,,,,-0.936103353130076,0.391304347826087
en:horizon:baseline:20260720,en,horizon,baseline,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.7,1.0,16,20260720,experiment_config_stage01,0.5,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\formal_v01\horizon_baseline_seed-20260720.json,,,,,,50.156666666666666,,,,,0.45,0.12857142857142856,,-0.09999999999999999,,,,40,,,,-0.026786285705141744,0.4180602006688963
