prompt_language,task,prompt_condition,metric,model_a,model_b,runs_per_cell,model_a_mean_prompt_effect,model_b_mean_prompt_effect,model_by_prompt_interaction,interaction_sd,resampling_unit,confidence_level,bootstrap_replicates,valid_replicates,valid_proportion,interval_status,interaction_ci_lower,interaction_ci_upper
en,horizon,detailed,directed_exploration,GPT-5.4,GPT-5.4 Mini,20,-0.007499999999999998,0.0225,0.03,0.06958523739384595,matched_environment_seed_block,0.95,2000,2000,1.0,report,0.002499999999999991,0.0625
en,horizon,detailed,horizon_effect,GPT-5.4,GPT-5.4 Mini,20,0.004999999999999999,0.03250000000000001,0.02750000000000001,0.09101041004655515,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.012499999999999997,0.06500000000000002
en,horizon,detailed,random_exploration_effect,GPT-5.4,GPT-5.4 Mini,20,0.32303674148266054,1.3506908302448768,1.0276540887622163,1.424709315548328,matched_environment_seed_block_hierarchical_refit,0.95,2000,2000,1.0,report,-0.4820078450475878,2.6291202621211047
en,horizon,role_human,directed_exploration,GPT-5.4,GPT-5.4 Mini,20,-0.004999999999999999,0.04000000000000001,0.045000000000000005,0.08094832659757316,matched_environment_seed_block,0.95,2000,2000,1.0,report,0.010000000000000005,0.08
en,horizon,role_human,horizon_effect,GPT-5.4,GPT-5.4 Mini,20,-0.004999999999999999,0.022500000000000006,0.027500000000000004,0.09244486265649893,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.012499999999999994,0.07
en,horizon,role_human,random_exploration_effect,GPT-5.4,GPT-5.4 Mini,20,-0.2486575862948037,1.885009519693909,2.1336671059887125,1.3668866903997396,matched_environment_seed_block_hierarchical_refit,0.95,2000,2000,1.0,report,0.7465291079449586,3.6429936487075474
en,horizon,uncertainty_emphasis,directed_exploration,GPT-5.4,GPT-5.4 Mini,20,-0.0025000000000000022,-0.0024999999999999966,5.637851296924623e-18,0.048666426339228776,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.02,0.020000000000000014
en,horizon,uncertainty_emphasis,horizon_effect,GPT-5.4,GPT-5.4 Mini,20,0.0125,0.025,0.0125,0.07047769337285305,matched_environment_seed_block,0.95,2000,2000,1.0,report,-0.017499999999999998,0.042499999999999996
en,horizon,uncertainty_emphasis,random_exploration_effect,GPT-5.4,GPT-5.4 Mini,20,0.15801381850208612,0.9454826510656036,0.7874688325635175,1.6938177996778092,matched_environment_seed_block_hierarchical_refit,0.95,2000,2000,1.0,report,-0.9524101015740181,2.4735801405391435
en,igt,detailed,advantageous_choice_rate,GPT-5.4,GPT-5.4 Mini,20,0.040999999999999995,0.016500000000000008,-0.024499999999999987,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.05799999999999994,0.010000000000000009
en,igt,detailed,post_loss_switching_rate,GPT-5.4,GPT-5.4 Mini,20,-0.040305614494509014,0.013601825004264023,0.05390743949877304,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.0827768878020702,0.19793806632102143
en,igt,role_human,advantageous_choice_rate,GPT-5.4,GPT-5.4 Mini,20,0.03450000000000001,0.007500000000000007,-0.027000000000000003,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.05449999999999999,-0.0010000000000000009
en,igt,role_human,post_loss_switching_rate,GPT-5.4,GPT-5.4 Mini,20,0.010983127166950695,-0.054906759906759924,-0.06588988707371062,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.19639757011779074,0.06032078324045224
en,igt,reward_loss_emphasis,advantageous_choice_rate,GPT-5.4,GPT-5.4 Mini,20,0.073,0.01200000000000001,-0.060999999999999985,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.08599999999999997,-0.03149999999999997
en,igt,reward_loss_emphasis,post_loss_switching_rate,GPT-5.4,GPT-5.4 Mini,20,0.018144421754715867,-0.06675990675990677,-0.08490432851462264,,independent_run_within_model_prompt_cell,0.95,2000,2000,1.0,report,-0.2117675257544743,0.04226239732489721
en,bart,detailed,adjusted_average_pumps,GPT-5.4,GPT-5.4 Mini,20,-0.04965442886495518,1.9763419547794547,2.0259963836444097,1.2527087518792484,matched_environment_seed_block,0.95,2000,2000,1.0,report,1.485284075055892,2.58011666133529
en,bart,detailed,explosion_rate,GPT-5.4,GPT-5.4 Mini,20,0.001249999999999999,0.05875,0.057499999999999996,0.04143796885898118,matched_environment_seed_block,0.95,2000,2000,1.0,report,0.04,0.075
en,bart,detailed,post_explosion_adjustment,GPT-5.4,GPT-5.4 Mini,20,0.4291666666666667,0.15523809523809523,-0.27392857142857147,2.008355632585717,matched_environment_seed_block,0.95,2000,2000,1.0,report,-1.1306458333333333,0.5794196428571429
en,bart,role_human,adjusted_average_pumps,GPT-5.4,GPT-5.4 Mini,20,-0.9729699334962493,0.12684861996007507,1.0998185534563243,0.9641821842513976,matched_environment_seed_block,0.95,2000,2000,1.0,report,0.6463895918508924,1.486720645761861
en,bart,role_human,explosion_rate,GPT-5.4,GPT-5.4 Mini,20,-0.0275,0.016249999999999997,0.04375,0.03616027916752972,matched_environment_seed_block,0.95,2000,2000,1.0,report,0.028749999999999998,0.06
