run_id,prompt_language,task,prompt_condition,model,requested_model,resolved_model,temperature,top_p,max_output_tokens,seed,config_name,config_version,prompt_path,prompt_sha256,done,n_trials,parse_success_rate,invalid_response_count,source_path,adjusted_average_pumps,advantageous_choice_rate,average_earning_per_balloon,average_net_outcome,average_pumps,average_reward_per_trial,deck_A_rate,deck_B_rate,deck_C_rate,deck_D_rate,directed_exploration,exploration_rate,explosion_rate,horizon_effect,learning_curve_change,learning_slope,n_balloons,n_games,net_score,post_explosion_adjustment,post_loss_switching_rate,random_exploration_effect,switching_rate
en:horizon:baseline:20260708,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260708,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-01-a\en\horizon_baseline_seed-20260708.json,,,,,,54.2,,,,,0.2,0.05714285714285714,,0.0,,,,40,,,,-0.6322001673453992,0.3879598662207358
en:horizon:baseline:20260709,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260709,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-01-a\en\horizon_baseline_seed-20260709.json,,,,,,52.15,,,,,0.45,0.08571428571428572,,-0.15000000000000002,,,,40,,,,-3.134626696390664,0.3779264214046823
en:horizon:baseline:20260710,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260710,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-01-b\en\horizon_baseline_seed-20260710.json,,,,,,53.196666666666665,,,,,0.35,0.09285714285714286,,0.09999999999999999,,,,40,,,,-0.41262251652983517,0.3879598662207358
en:horizon:baseline:20260711,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260711,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-01-b\en\horizon_baseline_seed-20260711.json,,,,,,51.233333333333334,,,,,0.35,0.014285714285714285,,0.0,,,,40,,,,0.060755607000389844,0.3712374581939799
en:horizon:baseline:20260712,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260712,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-02-a\en\horizon_baseline_seed-20260712.json,,,,,,55.596666666666664,,,,,0.4,0.04285714285714286,,0.0,,,,40,,,,-1.7594610034893605,0.38461538461538464
en:horizon:baseline:20260713,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260713,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-02-a\en\horizon_baseline_seed-20260713.json,,,,,,54.72,,,,,0.4,0.02857142857142857,,-0.2,,,,40,,,,-1.8550729673358588,0.36789297658862874
en:horizon:baseline:20260714,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260714,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-02-b\en\horizon_baseline_seed-20260714.json,,,,,,54.35666666666667,,,,,0.35,0.07857142857142857,,0.0,,,,40,,,,-4.168088184563005,0.3745819397993311
en:horizon:baseline:20260715,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260715,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-02-b\en\horizon_baseline_seed-20260715.json,,,,,,53.916666666666664,,,,,0.45,0.07142857142857142,,0.0,,,,40,,,,-0.8639149531694161,0.3979933110367893
en:horizon:baseline:20260716,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260716,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-03-a\en\horizon_baseline_seed-20260716.json,,,,,,53.81333333333333,,,,,0.35,0.15714285714285714,,0.0,,,,40,,,,-0.9241842679591239,0.36454849498327757
en:horizon:baseline:20260717,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260717,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-03-a\en\horizon_baseline_seed-20260717.json,,,,,,49.156666666666666,,,,,0.45,0.1,,0.0,,,,40,,,,-0.4981020341292257,0.39464882943143814
en:horizon:baseline:20260718,en,horizon,baseline,gpt-5.4-mini,gpt-5.4-mini,gpt-5.4-mini-2026-03-17,0.7,1.0,16,20260718,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4-mini-formal-v01\wave-03-b\en\horizon_baseline_seed-20260718.json,,,,,,52.663333333333334,,,,,0.45,0.1357142857142857,,0.04999999999999999,,,,40,,,,-1.5440137906569795,0.3745819397993311
