model,prompt_language,task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,human_sd,signed_human_sd_scaled_mean_deviation,absolute_human_sd_scaled_mean_deviation,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_runs_within_human_reference_proportion
GPT-4.1,en,bart,baseline,adjusted_average_pumps,20,141,9.050744405555307,8.320018931754284,3.281394375717232,0.2226874889554549,0.2226874889554549,3.145534290271132,15.412337662337663,within,1.0
GPT-4.1,es,bart,baseline,adjusted_average_pumps,20,141,6.485822048760854,8.320018931754284,3.281394375717232,-0.558968741022639,0.558968741022639,3.145534290271132,15.412337662337663,within,1.0
GPT-4.1,zh-CN,bart,baseline,adjusted_average_pumps,20,141,8.278933468788862,8.320018931754284,3.281394375717232,-0.012520733036376068,0.012520733036376068,3.145534290271132,15.412337662337663,within,1.0
GPT-5.4,en,bart,baseline,adjusted_average_pumps,20,141,2.5904061956693534,8.320018931754284,3.281394375717232,-1.7460908626176876,1.7460908626176876,3.145534290271132,15.412337662337663,below,0.2
GPT-5.4 Mini,en,bart,baseline,adjusted_average_pumps,20,141,2.8239114114114114,8.320018931754284,3.281394375717232,-1.674930499367836,1.674930499367836,3.145534290271132,15.412337662337663,below,0.15
GPT-4.1,en,bart,detailed,adjusted_average_pumps,20,141,8.818166322821497,8.320018931754284,3.281394375717232,0.15180966809523797,0.15180966809523797,3.145534290271132,15.412337662337663,within,1.0
GPT-4.1,es,bart,detailed,adjusted_average_pumps,20,141,7.859183633269772,8.320018931754284,3.281394375717232,-0.1404388640069464,0.1404388640069464,3.145534290271132,15.412337662337663,within,1.0
GPT-4.1,zh-CN,bart,detailed,adjusted_average_pumps,20,141,8.536463163067724,8.320018931754284,3.281394375717232,0.06596105390902034,0.06596105390902034,3.145534290271132,15.412337662337663,within,1.0
GPT-5.4,en,bart,detailed,adjusted_average_pumps,20,141,2.540751766804398,8.320018931754284,3.281394375717232,-1.761222975122178,1.761222975122178,3.145534290271132,15.412337662337663,below,0.1
GPT-5.4 Mini,en,bart,detailed,adjusted_average_pumps,20,141,4.800253366190867,8.320018931754284,3.281394375717232,-1.0726432615384984,1.0726432615384984,3.145534290271132,15.412337662337663,within,1.0
GPT-4.1,en,bart,risk_emphasis,adjusted_average_pumps,20,141,8.951332785987958,8.320018931754284,3.281394375717232,0.19239194743109317,0.19239194743109317,3.145534290271132,15.412337662337663,within,1.0
GPT-4.1,es,bart,risk_emphasis,adjusted_average_pumps,20,141,6.688620820395608,8.320018931754284,3.281394375717232,-0.49716612042467234,0.49716612042467234,3.145534290271132,15.412337662337663,within,1.0
GPT-4.1,zh-CN,bart,risk_emphasis,adjusted_average_pumps,20,141,8.476486673036312,8.320018931754284,3.281394375717232,0.04768330879089435,0.04768330879089435,3.145534290271132,15.412337662337663,within,1.0
GPT-5.4,en,bart,risk_emphasis,adjusted_average_pumps,20,141,2.8275714059924586,8.320018931754284,3.281394375717232,-1.673815121524767,1.673815121524767,3.145534290271132,15.412337662337663,below,0.35
GPT-5.4 Mini,en,bart,risk_emphasis,adjusted_average_pumps,20,141,1.5125013677645254,8.320018931754284,3.281394375717232,-2.074580737495719,2.074580737495719,3.145534290271132,15.412337662337663,below,0.05
GPT-4.1,en,bart,role_human,adjusted_average_pumps,20,141,7.958517549261084,8.320018931754284,3.281394375717232,-0.11016700253049715,0.11016700253049715,3.145534290271132,15.412337662337663,within,1.0
GPT-4.1,es,bart,role_human,adjusted_average_pumps,20,141,6.456626523776667,8.320018931754284,3.281394375717232,-0.5678660333445366,0.5678660333445366,3.145534290271132,15.412337662337663,within,1.0
GPT-4.1,zh-CN,bart,role_human,adjusted_average_pumps,20,141,8.283229591521444,8.320018931754284,3.281394375717232,-0.011211496096015164,0.011211496096015164,3.145534290271132,15.412337662337663,within,1.0
GPT-5.4,en,bart,role_human,adjusted_average_pumps,20,141,1.6174362621731042,8.320018931754284,3.281394375717232,-2.0426019862718148,2.0426019862718148,3.145534290271132,15.412337662337663,below,0.05
GPT-5.4 Mini,en,bart,role_human,adjusted_average_pumps,20,141,2.950760031371486,8.320018931754284,3.281394375717232,-1.636273573245584,1.636273573245584,3.145534290271132,15.412337662337663,below,0.3
GPT-4.1,en,bart,baseline,explosion_rate,20,141,0.27749999999999997,0.2852836879432623,0.11354950627313778,-0.06854884885663051,0.06854884885663051,0.075,0.475,within,1.0
GPT-4.1,es,bart,baseline,explosion_rate,20,141,0.19749999999999998,0.2852836879432623,0.11354950627313778,-0.7730873592008666,0.7730873592008666,0.075,0.475,within,1.0
GPT-4.1,zh-CN,bart,baseline,explosion_rate,20,141,0.27375000000000005,0.2852836879432623,0.11354950627313778,-0.10157409152901589,0.10157409152901589,0.075,0.475,within,1.0
