task,prompt_condition,metric,language,baseline_n,condition_n,language_prompt_effect,three_language_mean_prompt_effect,centered_prompt_effect,language_hedges_g,three_language_mean_hedges_g,standardised_centered_prompt_effect,bootstrap_unit,confidence_level,bootstrap_replicates,raw_valid_replicates,raw_valid_proportion,raw_interval_status,standardised_valid_replicates,standardised_valid_proportion,standardised_interval_status,raw_ci_lower,raw_ci_upper,standardised_ci_lower,standardised_ci_upper
horizon,detailed,directed_exploration,en,20,20,0.03749999999999998,-0.010833333333333325,0.048333333333333305,0.41135609775012416,-0.10680242104679834,0.5181585187969225,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.019166666666666686,0.07999999999999995,0.22163036487563892,0.9146050358103031
horizon,detailed,directed_exploration,zh-CN,20,20,-0.02749999999999997,-0.010833333333333325,-0.016666666666666642,-0.31865785108916495,-0.10680242104679834,-0.21185543004236662,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.03749999999999998,0.0024999999999999857,-0.4866444113675408,0.02135529439904464
horizon,detailed,directed_exploration,es,20,20,-0.04249999999999998,-0.010833333333333325,-0.031666666666666655,-0.41310550980135424,-0.10680242104679834,-0.3063030887545559,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.06166666666666665,-0.002499999999999963,-0.6457293061659513,-0.008852723970536588
horizon,detailed,horizon_effect,en,20,20,0.012499999999999999,0.009166666666666667,0.0033333333333333322,0.14945050593586445,0.11794564650070535,0.0315048594351591,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.028333333333333332,0.03333333333333333,-0.35531981001641993,0.4820255444330066
horizon,detailed,horizon_effect,zh-CN,20,20,0.007500000000000003,0.009166666666666667,-0.0016666666666666635,0.10640183481317014,0.11794564650070535,-0.01154381168753521,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.029999999999999995,0.025000000000000005,-0.3890269582824533,0.3915252804759793
horizon,detailed,horizon_effect,es,20,20,0.0075,0.009166666666666667,-0.001666666666666667,0.09798459875308145,0.11794564650070535,-0.019961047747623903,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.030833333333333338,0.03083333333333333,-0.45676062286438773,0.41246770705496405
horizon,detailed,random_exploration_effect,en,20,20,-0.4027458333275255,-0.24015151022363065,-0.16259432310389485,-0.22145934672355203,-0.17755368019332513,-0.0439056665302269,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.9886450740213788,0.6774061545320943,-0.4700726568455159,0.43279830755761084
horizon,detailed,random_exploration_effect,zh-CN,20,20,-0.41968491219571086,-0.24015151022363065,-0.1795334019720802,-0.3599265101640211,-0.17755368019332513,-0.18237282997069598,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.7579851549402719,0.4272294388232846,-0.551607302278999,0.18738010299774435
horizon,detailed,random_exploration_effect,es,20,20,0.10197621485234443,-0.24015151022363065,0.3421277250759751,0.04872481630759777,-0.17755368019332513,0.2262784965009229,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.6651703906214987,1.313197915418457,-0.3048746425867851,0.716888441584033
horizon,role_human,directed_exploration,en,20,20,-0.057499999999999996,-0.03249999999999994,-0.025000000000000057,-0.6854621699983309,-0.3820299605804711,-0.30343220941785976,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.048333333333333305,8.673617379836704e-19,-0.6722623558688429,0.02824664619843995
horizon,role_human,directed_exploration,zh-CN,20,20,0.032500000000000084,-0.03249999999999994,0.06500000000000003,0.3157000089519168,-0.3820299605804711,0.697729969532388,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.03999999999999996,0.09083333333333332,0.4599069904463265,1.0113851424416946
horizon,role_human,directed_exploration,es,20,20,-0.0724999999999999,-0.03249999999999994,-0.03999999999999996,-0.7763277206949992,-0.3820299605804711,-0.3942977601145281,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.06916666666666664,-0.010833333333333361,-0.7817153295039934,-0.07440869418201104
horizon,role_human,horizon_effect,en,20,20,0.007499999999999998,0.0125,-0.005000000000000003,0.09764279097158256,0.16168115925695117,-0.06403836828536862,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.028333333333333335,0.016666666666666666,-0.37346284364404086,0.2666624962980342
horizon,role_human,horizon_effect,zh-CN,20,20,0.0125,0.0125,0.0,0.1576934078422657,0.16168115925695117,-0.003987751414685464,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.028354166666666635,0.030020833333333222,-0.3979188744836283,0.3985095124840795
horizon,role_human,horizon_effect,es,20,20,0.017500000000000005,0.0125,0.0050000000000000044,0.22970727895700524,0.16168115925695117,0.06802611970005407,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.0275208333333333,0.03833333333333334,-0.3934435140268742,0.5328538249098043
horizon,role_human,random_exploration_effect,en,20,20,-0.0628848258265649,0.09810009492768688,-0.1609849207542518,-0.04417070912178315,0.04025148957167914,-0.08442219869346229,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.9233045411859998,0.5337366863302208,-0.5161221321918305,0.4460172046053475
horizon,role_human,random_exploration_effect,zh-CN,20,20,-0.05486311454101034,0.09810009492768688,-0.15296320946869724,-0.0347561672556933,0.04025148957167914,-0.07500765682737244,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.9893051322771366,0.6851341051597142,-0.5999800628006485,0.40628889876070756
horizon,role_human,random_exploration_effect,es,20,20,0.4120482251506359,0.09810009492768688,0.313948130222949,0.19968134509251387,0.04025148957167914,0.15942985552083472,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.7377710333230143,1.4615970732546246,-0.4478820474370966,0.7601535488803883
horizon,uncertainty_emphasis,directed_exploration,en,20,20,0.14500000000000002,0.05416666666666673,0.0908333333333333,1.468831961983349,0.5507752115397913,0.9180567504435577,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.06000000000000003,0.12250000000000005,0.6092048135937925,1.3321574570898465
horizon,uncertainty_emphasis,directed_exploration,zh-CN,20,20,0.0475000000000001,0.05416666666666673,-0.006666666666666633,0.4963102863834322,0.5507752115397913,-0.054464925156359034,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.03002083333333336,0.018333333333333313,-0.31506897520705346,0.23352578784708097
horizon,uncertainty_emphasis,directed_exploration,es,20,20,-0.029999999999999916,0.05416666666666673,-0.08416666666666664,-0.3128166137474075,0.5507752115397913,-0.8635918252871988,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.10668750000000002,-0.06000000000000002,-1.1609922671871455,-0.6286168119980589
horizon,uncertainty_emphasis,horizon_effect,en,20,20,0.052500000000000005,0.030833333333333338,0.021666666666666667,0.5116327111719154,0.3493441422019584,0.16228856896995703,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.015833333333333338,0.055833333333333325,-0.24997735010284572,0.5971722157636179
horizon,uncertainty_emphasis,horizon_effect,zh-CN,20,20,0.04,0.030833333333333338,0.009166666666666663,0.5363997154339597,0.3493441422019584,0.18705557323200128,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.02083333333333333,0.04083333333333334,-0.21066472888387106,0.7210372718709622
horizon,uncertainty_emphasis,horizon_effect,es,20,20,3.469446951953614e-18,0.030833333333333338,-0.030833333333333334,4.655393399028376e-17,0.3493441422019584,-0.34934414220195836,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.06583333333333333,0.005000000000000001,-0.8592272170768488,0.10959370340624647
horizon,uncertainty_emphasis,random_exploration_effect,en,20,20,1.5993923476379912,1.3852319673797489,0.21416038025824236,0.7784542334183846,0.7953148984025806,-0.016860664984196028,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.5152737241895109,0.9871492010361398,-0.4545003830775088,0.4419219106523498
horizon,uncertainty_emphasis,random_exploration_effect,zh-CN,20,20,1.2968932508566708,1.3852319673797489,-0.08833871652307801,1.0810009395551732,0.7953148984025806,0.28568604115259255,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.6952794970877497,0.5088989291180505,-0.12900442695196837,0.8075888792846607
horizon,uncertainty_emphasis,random_exploration_effect,es,20,20,1.2594103036445845,1.3852319673797489,-0.12582166373516435,0.526489522234184,0.7953148984025806,-0.26882537616839663,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-1.1460790662900064,0.8161087148045212,-0.7985784055688699,0.1587565798569238
igt,detailed,advantageous_choice_rate,en,20,20,-0.041000000000000036,-0.03366666666666666,-0.007333333333333379,-0.9248679651592702,-1.4566425693561407,0.5317746041968705,independent_cell_run,0.95,2000,2000,1.0,report,1993,0.9965,report,-0.026333333333333396,0.010999999999999972,-0.04238283146055296,1.5610336221121424
