task,prompt_condition,metric,model_a,model_b,model_a_n,model_b_n,model_a_mean,model_b_mean,model_b_minus_model_a,cross_model_hedges_g
bart,baseline,adjusted_average_pumps,GPT-5.4,GPT-4.1,20,20,2.5904061956693534,9.050744405555307,6.460338209885953,4.799117367707344
bart,baseline,average_earning_per_balloon,GPT-5.4,GPT-4.1,20,20,0.12037499999999997,0.3289375,0.20856250000000004,3.5898626538730616
bart,baseline,average_pumps,GPT-5.4,GPT-4.1,20,20,2.5875,8.38125,5.793749999999999,4.927581131537298
bart,baseline,explosion_rate,GPT-5.4,GPT-4.1,20,20,0.07125000000000001,0.2775,0.20625000000000002,6.5254442670338655
bart,baseline,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
bart,baseline,n_balloons,GPT-5.4,GPT-4.1,20,20,40.0,40.0,0.0,
bart,baseline,n_trials,GPT-5.4,GPT-4.1,20,20,140.65,364.15,223.49999999999997,4.685718240004617
bart,baseline,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
bart,baseline,post_explosion_adjustment,GPT-5.4,GPT-4.1,20,20,-1.2666666666666666,0.30276612276612275,1.5694327894327893,1.270152184143633
bart,detailed,adjusted_average_pumps,GPT-5.4,GPT-4.1,20,20,2.5407517668043984,8.818166322821495,6.2774145560170975,4.799437557255545
bart,detailed,average_earning_per_balloon,GPT-5.4,GPT-4.1,20,20,0.11787499999999998,0.3085,0.19062500000000002,3.5666604708741785
bart,detailed,average_pumps,GPT-5.4,GPT-4.1,20,20,2.53625,8.54875,6.0125,5.020328041863666
bart,detailed,explosion_rate,GPT-5.4,GPT-4.1,20,20,0.0725,0.3025,0.22999999999999998,9.589473317157909
bart,detailed,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
bart,detailed,n_balloons,GPT-5.4,GPT-4.1,20,20,40.0,40.0,0.0,
bart,detailed,n_trials,GPT-5.4,GPT-4.1,20,20,138.55,369.85,231.3,4.79058659572519
bart,detailed,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
bart,detailed,post_explosion_adjustment,GPT-5.4,GPT-4.1,20,20,-0.8375,-1.0042016317016318,-0.16670163170163177,-0.12222697246153816
bart,risk_emphasis,adjusted_average_pumps,GPT-5.4,GPT-4.1,20,20,2.8275714059924586,8.951332785987958,6.1237613799955,4.44786019613256
bart,risk_emphasis,average_earning_per_balloon,GPT-5.4,GPT-4.1,20,20,0.1303125,0.3175,0.1871875,3.209254975009565
bart,risk_emphasis,average_pumps,GPT-5.4,GPT-4.1,20,20,2.81,8.42375,5.61375,4.485373971317227
bart,risk_emphasis,explosion_rate,GPT-5.4,GPT-4.1,20,20,0.07875,0.29375,0.21500000000000002,7.989228341232752
bart,risk_emphasis,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
bart,risk_emphasis,n_balloons,GPT-5.4,GPT-4.1,20,20,40.0,40.0,0.0,
bart,risk_emphasis,n_trials,GPT-5.4,GPT-4.1,20,20,149.25,365.2,215.95,4.268680883672111
bart,risk_emphasis,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
bart,risk_emphasis,post_explosion_adjustment,GPT-5.4,GPT-4.1,20,20,-1.0133333333333334,-0.1234340659340659,0.8898992673992675,0.8659419201701622
bart,role_human,adjusted_average_pumps,GPT-5.4,GPT-4.1,20,20,1.6174362621731042,7.958517549261083,6.341081287087979,5.396682404286352
bart,role_human,average_earning_per_balloon,GPT-5.4,GPT-4.1,20,20,0.07731249999999998,0.2980625,0.22075000000000003,4.375497348802932
bart,role_human,average_pumps,GPT-5.4,GPT-4.1,20,20,1.62875,7.5825,5.953749999999999,5.883819112197631
bart,role_human,explosion_rate,GPT-5.4,GPT-4.1,20,20,0.043750000000000004,0.25375000000000003,0.21000000000000002,7.45873808287676
bart,role_human,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
bart,role_human,n_balloons,GPT-5.4,GPT-4.1,20,20,40.0,40.0,0.0,
bart,role_human,n_trials,GPT-5.4,GPT-4.1,20,20,103.4,333.15,229.74999999999997,5.616931198426524
bart,role_human,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
bart,role_human,post_explosion_adjustment,GPT-5.4,GPT-4.1,20,20,-1.0,-0.6807431457431458,0.31925685425685424,0.2696350903169285
horizon,baseline,average_reward_per_trial,GPT-5.4,GPT-4.1,20,20,52.867666666666665,52.44683333333333,-0.4208333333333343,-0.20851122665193358
horizon,baseline,directed_exploration,GPT-5.4,GPT-4.1,20,20,0.5075000000000001,0.5425,0.03499999999999992,0.3875419549127617
horizon,baseline,exploration_rate,GPT-5.4,GPT-4.1,20,20,0.044642857142857144,0.11464285714285714,0.07,2.246487428871467
horizon,baseline,horizon_effect,GPT-5.4,GPT-4.1,20,20,0.0024999999999999996,-0.009999999999999998,-0.012499999999999997,-0.17086459594249717
horizon,baseline,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
horizon,baseline,n_games,GPT-5.4,GPT-4.1,20,20,40.0,40.0,0.0,
horizon,baseline,n_trials,GPT-5.4,GPT-4.1,20,20,300.0,300.0,0.0,
horizon,baseline,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
horizon,baseline,random_exploration_effect,GPT-5.4,GPT-4.1,20,20,0.12212513461423649,0.4918768204975578,0.3697516858833213,0.2838124827666077
horizon,baseline,switching_rate,GPT-5.4,GPT-4.1,20,20,0.3851170568561873,0.43076923076923074,0.04565217391304344,2.277108274102577
horizon,detailed,average_reward_per_trial,GPT-5.4,GPT-4.1,20,20,52.858,52.69566666666667,-0.16233333333332922,-0.08061505134772651
horizon,detailed,directed_exploration,GPT-5.4,GPT-4.1,20,20,0.5,0.58,0.07999999999999996,0.8723632577775461
horizon,detailed,exploration_rate,GPT-5.4,GPT-4.1,20,20,0.04964285714285714,0.08071428571428571,0.03107142857142857,0.9997229618399534
horizon,detailed,horizon_effect,GPT-5.4,GPT-4.1,20,20,0.007499999999999999,0.0025,-0.004999999999999999,-0.06863185150454483
horizon,detailed,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
horizon,detailed,n_games,GPT-5.4,GPT-4.1,20,20,40.0,40.0,0.0,
horizon,detailed,n_trials,GPT-5.4,GPT-4.1,20,20,300.0,300.0,0.0,
horizon,detailed,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
horizon,detailed,random_exploration_effect,GPT-5.4,GPT-4.1,20,20,0.445161876096897,-0.25497308248700934,-0.7001349585839063,-0.5592926511384012
horizon,detailed,switching_rate,GPT-5.4,GPT-4.1,20,20,0.38461538461538464,0.42474916387959866,0.04013377926421402,1.766797470755194
horizon,role_human,average_reward_per_trial,GPT-5.4,GPT-4.1,20,20,52.900666666666666,52.62566666666667,-0.2749999999999986,-0.13866643063548076
horizon,role_human,directed_exploration,GPT-5.4,GPT-4.1,20,20,0.5025000000000001,0.485,-0.01750000000000007,-0.2062243636885261
horizon,role_human,exploration_rate,GPT-5.4,GPT-4.1,20,20,0.04392857142857143,0.08821428571428572,0.04428571428571429,1.4353665322104145
horizon,role_human,horizon_effect,GPT-5.4,GPT-4.1,20,20,-0.0025,-0.0025,0.0,0.0
horizon,role_human,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
horizon,role_human,n_games,GPT-5.4,GPT-4.1,20,20,40.0,40.0,0.0,
horizon,role_human,n_trials,GPT-5.4,GPT-4.1,20,20,300.0,300.0,0.0,
horizon,role_human,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
horizon,role_human,random_exploration_effect,GPT-5.4,GPT-4.1,20,20,-0.1265324516805672,-0.05549040018589518,0.07104205149467202,0.11055555310480016
horizon,role_human,switching_rate,GPT-5.4,GPT-4.1,20,20,0.3839464882943144,0.4177257525083612,0.03377926421404681,1.6280201583387912
