task,prompt_condition,metric,model_a,model_b,model_a_n,model_b_n,model_a_mean,model_b_mean,model_b_minus_model_a,cross_model_hedges_g
bart,baseline,adjusted_average_pumps,GPT-5.4,GPT-5.4 Mini,20,20,2.5904061956693534,2.8239114114114114,0.23350521574205807,0.34597829322942064
bart,baseline,average_earning_per_balloon,GPT-5.4,GPT-5.4 Mini,20,20,0.12037499999999997,0.13012499999999996,0.009749999999999995,0.307097098631487
bart,baseline,average_pumps,GPT-5.4,GPT-5.4 Mini,20,20,2.5875,2.8575,0.27,0.4183295636791337
bart,baseline,explosion_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.07125000000000001,0.07875,0.007499999999999993,0.394599557116621
bart,baseline,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
bart,baseline,n_balloons,GPT-5.4,GPT-5.4 Mini,20,20,40.0,40.0,0.0,
bart,baseline,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,140.65,151.15,10.5,0.4051313873748646
bart,baseline,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
bart,baseline,post_explosion_adjustment,GPT-5.4,GPT-5.4 Mini,20,20,-1.2666666666666666,-0.9416666666666667,0.32499999999999996,0.2700547680653514
bart,detailed,adjusted_average_pumps,GPT-5.4,GPT-5.4 Mini,20,20,2.5407517668043984,4.800253366190866,2.2595015993864673,2.2948625945016166
bart,detailed,average_earning_per_balloon,GPT-5.4,GPT-5.4 Mini,20,20,0.11787499999999998,0.20725,0.08937500000000001,1.9739892063485016
bart,detailed,average_pumps,GPT-5.4,GPT-5.4 Mini,20,20,2.53625,4.66625,2.13,2.328326595660208
bart,detailed,explosion_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.0725,0.1375,0.06500000000000002,2.2040328249827175
bart,detailed,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
bart,detailed,n_balloons,GPT-5.4,GPT-5.4 Mini,20,20,40.0,40.0,0.0,
bart,detailed,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,138.55,221.15,82.6,2.249876168002706
bart,detailed,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
bart,detailed,post_explosion_adjustment,GPT-5.4,GPT-5.4 Mini,20,20,-0.8375,-0.7864285714285715,0.051071428571428545,0.040604952392472075
bart,risk_emphasis,adjusted_average_pumps,GPT-5.4,GPT-5.4 Mini,20,20,2.8275714059924586,1.5125013677645256,-1.315070038227933,-1.6253568369277391
bart,risk_emphasis,average_earning_per_balloon,GPT-5.4,GPT-5.4 Mini,20,20,0.1303125,0.07256249999999999,-0.05775000000000001,-1.5065280166792023
bart,risk_emphasis,average_pumps,GPT-5.4,GPT-5.4 Mini,20,20,2.81,1.53875,-1.27125,-1.6427504279268972
bart,risk_emphasis,explosion_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.07875,0.0425,-0.03625,-1.923249012506783
bart,risk_emphasis,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
bart,risk_emphasis,n_balloons,GPT-5.4,GPT-5.4 Mini,20,20,40.0,40.0,0.0,
bart,risk_emphasis,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,149.25,99.85,-49.400000000000006,-1.5893647127362749
bart,risk_emphasis,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
